venue-name;venue-address;workspaceTypesFormatted;workspaceSearchResults-spaceTypeFormatted;price;priceDescription
CityCentral - Dallas;17250 Dallas Parkway, Dallas, TX 75248;;Desk;25.0;/day-pass
CityCentral - Dallas;17250 Dallas Parkway, Dallas, TX 75248;;Office;50.0;/day
CityCentral - Dallas;17250 Dallas Parkway, Dallas, TX 75248;;Training Room, Event Space;100.0;/hour
CityCentral - Dallas;17250 Dallas Parkway, Dallas, TX 75248;;Event Space;200.0;/hour
CityCentral - Dallas;17250 Dallas Parkway, Dallas, TX 75248;;Meeting Space;60.0;/hour
CityCentral - Dallas;17250 Dallas Parkway, Dallas, TX 75248;;Meeting Space;60.0;/hour
CityCentral - Dallas;17250 Dallas Parkway, Dallas, TX 75248;;Meeting Space;60.0;/hour
CityCentral - Dallas;17250 Dallas Parkway, Dallas, TX 75248;;Meeting Space;60.0;/hour
CityCentral Richardson;500 North Central Expressway, 500, Plano, TX 75074;;Office;10.0;/hour
CityCentral Richardson;500 North Central Expressway, 500, Plano, TX 75074;;Meeting Space;40.0;/hour
CityCentral Richardson;500 North Central Expressway, 500, Plano, TX 75074;;Meeting Space;40.0;/hour
CityCentral Richardson;500 North Central Expressway, 500, Plano, TX 75074;;Meeting Space;40.0;/hour
CityCentral Richardson;500 North Central Expressway, 500, Plano, TX 75074;;Meeting Space;80.0;/hour
CityCentral Richardson;500 North Central Expressway, 500, Plano, TX 75074;;Meeting Space;40.0;/hour
Common Desk - West End;603 Munger Avenue, Dallas, TX 75202;;Desk;25.0;/day-pass
Venture X | Grapevine - DFW Airport North;2451 West Grapevine Mills Circle, Grapevine, TX 76051;;Office;45.0;/hour
Venture X | Grapevine - DFW Airport North;2451 West Grapevine Mills Circle, Grapevine, TX 76051;;Desk;35.0;/day-pass
Venture X | Grapevine - DFW Airport North;2451 West Grapevine Mills Circle, Grapevine, TX 76051;;Meeting Space;60.0;/hour
Venture X | Grapevine - DFW Airport North;2451 West Grapevine Mills Circle, Grapevine, TX 76051;;Meeting Space;55.0;/hour
Venture X | Grapevine - DFW Airport North;2451 West Grapevine Mills Circle, Grapevine, TX 76051;;Meeting Space;60.0;/hour
Venture X | Grapevine - DFW Airport North;2451 West Grapevine Mills Circle, Grapevine, TX 76051;;Meeting Space;30.0;/hour
Venture X | Grapevine - DFW Airport North;2451 West Grapevine Mills Circle, Grapevine, TX 76051;;Meeting Space;55.0;/hour
Venture X | Grapevine - DFW Airport North;2451 West Grapevine Mills Circle, Grapevine, TX 76051;;Meeting Space;60.0;/hour
Executive Workspace| Park & Preston;5055 West Park Boulevard, 400, Plano, TX 75093;;Meeting Space;55.0;/hour
Executive Workspace| Park & Preston;5055 West Park Boulevard, 400, Plano, TX 75093;;Meeting Space;45.0;/hour
Executive Workspace| Park & Preston;5055 West Park Boulevard, 400, Plano, TX 75093;;Meeting Space;35.0;/hour
Executive Workspace| Park & Preston;5055 West Park Boulevard, 400, Plano, TX 75093;;Office;30.0;/hour
Common Desk - Downtown Dallas;2001 Ross Avenue, 700, Dallas, TX 75201;;Office;90.0;/day-pass
Common Desk - Downtown Dallas;2001 Ross Avenue, 700, Dallas, TX 75201;;Desk;25.0;/day-pass
Serendipity Labs - Plano - Legacy West;7950 Legacy Drive, Sutie 400, Plano, TX 75024;;Desk;35.0;/day-pass
Serendipity Labs - Plano - Legacy West;7950 Legacy Drive, Sutie 400, Plano, TX 75024;;Meeting Space;59.0;/hour
Serendipity Labs - Plano - Legacy West;7950 Legacy Drive, Sutie 400, Plano, TX 75024;;Meeting Space;69.0;/hour
Executive Workspace| Allen;1333 McDermott Dr, Suite 200, Allen, TX 75013;;Meeting Space;55.0;/hour
Executive Workspace| Allen;1333 McDermott Dr, Suite 200, Allen, TX 75013;;Meeting Space;45.0;/hour
Executive Workspace| Allen;1333 McDermott Dr, Suite 200, Allen, TX 75013;;Office;30.0;/hour
Communion Cooperative;514 Lockwood Drive, Richardson, TX 75080;;Desk;25.0;/day-pass
Communion Cooperative;514 Lockwood Drive, Richardson, TX 75080;;Meeting Space;40.0;/hour
Communion Cooperative;514 Lockwood Drive, Richardson, TX 75080;;Meeting Space;60.0;/hour
Communion Cooperative;514 Lockwood Drive, Richardson, TX 75080;;Meeting Space;60.0;/hour
BOSS Office & Coworking;129 South Main Street, 260, Grapevine, TX 76051;;Meeting Space;60.0;/hour
BOSS Office & Coworking;129 South Main Street, 260, Grapevine, TX 76051;;Desk;40.0;/day-pass
BOSS Office & Coworking;129 South Main Street, 260, Grapevine, TX 76051;;Meeting Space;150.0;/hour
BOSS Office & Coworking;129 South Main Street, 260, Grapevine, TX 76051;;Meeting Space;35.0;/hour
HEXA Co-Working;2100 North Greenville Avenue, Richardson, TX 75082;;Event Space;150.0;/hour
HEXA Co-Working;2100 North Greenville Avenue, Richardson, TX 75082;;Event Space;150.0;/hour
HEXA Co-Working;2100 North Greenville Avenue, Richardson, TX 75082;;Event Space;150.0;/hour
HEXA Co-Working;2100 North Greenville Avenue, Richardson, TX 75082;;Event Space;190.0;/hour
HEXA Co-Working;2100 North Greenville Avenue, Richardson, TX 75082;;Event Space;190.0;/hour
HEXA Co-Working;2100 North Greenville Avenue, Richardson, TX 75082;;Event Space;290.0;/hour
HEXA Co-Working;2100 North Greenville Avenue, Richardson, TX 75082;;Meeting Space;30.0;/hour
HEXA Co-Working;2100 North Greenville Avenue, Richardson, TX 75082;;Meeting Space;30.0;/hour
HEXA Co-Working;2100 North Greenville Avenue, Richardson, TX 75082;;Meeting Space;30.0;/hour
HEXA Co-Working;2100 North Greenville Avenue, Richardson, TX 75082;;Meeting Space;44.0;/hour
